variable_name,concept_domain,standard_definition,source_type,source_reference,mimic_table_field,eicu_table_field,window,code_rule,unit,main_or_sensitivity,status
study_id,identifier,Project-defined unique row identifier for one index ICU stay,project_spec,Current study protocol,derived,derived,index stay,concatenate dataset and stay id,,main,operational_proxy
dataset_name,identifier,Source database label,project_spec,Current study protocol,'mimic_iv','eicu_crd',index stay,constant per dataset,,main,operational_proxy
subject_id_or_patientunitstayid,identifier,Patient or stay identifier retained from source database,official_database_doc,MIMIC-IV PhysioNet v3.1 and eICU official table docs,cohort.subject_id,patient.patientunitstayid,index stay,retain official source id,,main,direct_from_official_definition
hospital_stay_id,identifier,Hospitalization identifier for retained index stay,official_database_doc,MIMIC-IV admissions and eICU patient table docs,admissions.hadm_id,patient.patienthealthsystemstayid,index stay,retain official hospitalization id,,main,direct_from_official_definition
index_time,time_anchor,Index ICU admission anchor for retained stay,official_database_doc,MIMIC-IV icustays and eICU patient table docs,icustays.intime,patient.unitadmittime24,index stay,use official ICU admission anchor from each database,timestamp_or_time_proxy,main,operational_proxy
in_hospital_mortality,outcome,Death before discharge from index hospitalization,official_database_doc,MIMIC live schema audit and eICU patient table docs,admissions.hospital_expire_flag with deathtime audit,patient.hospitaldischargestatus,index hospitalization,eICU Expired=1; MIMIC hospital_expire_flag as primary audited against deathtime,binary,main,direct_from_official_definition
ckm_stage_strict_aha,exposure,Strict AHA CKM stage 0-4,official_definition,AHA CKM advisory PMID 37807924,derived,derived,pre-index and index context,apply AHA logic as far as source variables permit,ordinal,sensitivity,operational_proxy
ckm_stage_adapted,exposure,Adapted antecedent CKM burden stage A0-A3 excluding current index AMI from automatic stage escalation,project_spec,Current study protocol based on AHA framework,derived,derived,pre-index and early hospitalization evidence,A0 no burden; A1 adiposity only; A2 metabolic risk or disease without CKD or antecedent CVD; A3 CKD or antecedent HF AF stroke PAD,ordinal,main,operational_proxy
ckm_stage_component_flags,exposure_component,Component evidence flags for adiposity metabolic kidney and antecedent CVD domains,project_spec,Current study protocol,derived,derived,pre-index and early hospitalization evidence,store pipe-separated component flags used to derive adapted stage,text,main,operational_proxy
ckm_stage_evidence_level,exposure_component,Exposure evidence quality level,project_spec,Current study protocol,derived,derived,index stay,classify as shared_core_only or shared_plus_proxy,categorical,main,operational_proxy
age,demographic,Age at index ICU admission,official_database_doc,MIMIC-IV patients and eICU patient table docs,patients.anchor_age,patient.age,index stay,adult if >=18,years,main,direct_from_official_definition
sex,demographic,Administrative sex recorded in source database,official_database_doc,MIMIC-IV patients and eICU patient table docs,patients.gender,patient.gender,index stay,standardize source sex field,categorical,main,direct_from_official_definition
bmi_or_proxy,adiposity,Body mass index or closest source-supported adiposity proxy,official_definition_plus_proxy,AHA CKM advisory plus official database docs,omr.result_name='BMI (kg/m2)',patient.admissionweight plus patient.admissionheight,closest value before index admission,prefer official BMI in MIMIC OMR and derive BMI from admission weight and height in eICU,kg_per_m2,main,operational_proxy
hypertension_flag,metabolic_risk,History or evidence of hypertension,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus d_icd_diagnoses text,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence preferred; SBP only supportive,binary,main,operational_proxy
diabetes_flag,metabolic_risk,History of diabetes mellitus or equivalent metabolic disease,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence of diabetes mellitus,binary,main,operational_proxy
hyperlipidemia_flag,metabolic_risk,History of dyslipidemia or hyperlipidemia,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis plus admissiondx text,pre-index and admission,ICD or text evidence of dyslipidemia,binary,main,operational_proxy
renal_history_flag,kidney,History of CKD renal failure ESRD or dialysis-related chronic renal disease,official_definition_plus_proxy,AHA CKM advisory,diagnoses_icd plus diagnosis title,diagnosis or pasthistory renal text,pre-index and admission,ICD or text evidence of chronic renal disease,binary,main,operational_proxy
baseline_creatinine,kidney,Earliest clinically relevant creatinine around ICU admission,official_database_doc,MIMIC derived tables and eICU lab table docs,mimiciv_derived.first_day_lab.creatinine_min,lab.labname='creatinine',-24h to +24h from index ICU,use first clinically relevant creatinine in predefined window,mg_per_dL,main,operational_proxy
egfr_proxy,kidney,Estimated glomerular filtration rate or closest kidney function proxy,official_definition_plus_proxy,AHA CKM advisory and CKD-EPI concept,omr.result_name='eGFR',derived from local fields if available,same as baseline creatinine,use official OMR eGFR when present; otherwise leave missing,mL_per_min_per_1_73m2,sensitivity,operational_proxy
